valuationDate,isinCode,yield,maturityDate,currency
2022-01-13,TRT180625T13,-0.0746,2022-01-13,TRY
2022-01-13,TRT280531T14,-0.0052,2022-01-13,TRY
2022-01-13,TRT160425T17,-0.059,2022-01-13,TRY
2022-04-14,TRT160425T17,-0.0838,2022-04-14,TRY
2022-04-14,TRT180625T13,-0.0901,2022-04-14,TRY
2022-04-14,TRT140126T11,-0.0650,2022-04-14,TRY
2022-04-14,TRT120128T11,-0.0372,2022-04-14,TRY



