strike,tenor,value,valuationDate,isinCode,definition,volType
0.01,1Y,0.444,2021-06-08,USD,CapFloorVolatility,normal
0.01,2Y,0.459,2021-06-08,USD,CapFloorVolatility,normal
0.01,3Y,0.552,2021-06-08,USD,CapFloorVolatility,normal
0.01,4Y,0.622,2021-06-08,USD,CapFloorVolatility,normal
0.01,5Y,0.658,2021-06-08,USD,CapFloorVolatility,normal
0.01,6Y,0.678,2021-06-08,USD,CapFloorVolatility,normal
0.01,7Y,0.693,2021-06-08,USD,CapFloorVolatility,normal
0.01,8Y,0.701,2021-06-08,USD,CapFloorVolatility,normal
0.01,9Y,0.706,2021-06-08,USD,CapFloorVolatility,normal
0.01,10Y,0.71,2021-06-08,USD,CapFloorVolatility,normal
0.01,12Y,0.714,2021-06-08,USD,CapFloorVolatility,normal
0.01,15Y,0.716,2021-06-08,USD,CapFloorVolatility,normal
0.01,20Y,0.705,2021-06-08,USD,CapFloorVolatility,normal
0.015,1Y,0.639,2021-06-08,USD,CapFloorVolatility,normal
0.015,2Y,0.621,2021-06-08,USD,CapFloorVolatility,normal
0.015,3Y,0.692,2021-06-08,USD,CapFloorVolatility,normal
0.015,4Y,0.745,2021-06-08,USD,CapFloorVolatility,normal
0.015,5Y,0.761,2021-06-08,USD,CapFloorVolatility,normal
0.015,6Y,0.761,2021-06-08,USD,CapFloorVolatility,normal
0.015,7Y,0.761,2021-06-08,USD,CapFloorVolatility,normal
0.015,8Y,0.759,2021-06-08,USD,CapFloorVolatility,normal
0.015,9Y,0.754,2021-06-08,USD,CapFloorVolatility,normal
0.015,10Y,0.75,2021-06-08,USD,CapFloorVolatility,normal
0.015,12Y,0.743,2021-06-08,USD,CapFloorVolatility,normal
0.015,15Y,0.73,2021-06-08,USD,CapFloorVolatility,normal
0.015,20Y,0.709,2021-06-08,USD,CapFloorVolatility,normal
0.1,1Y,3.434,2021-06-08,USD,CapFloorVolatility,normal
0.1,2Y,2.906,2021-06-08,USD,CapFloorVolatility,normal
0.1,3Y,2.732,2021-06-08,USD,CapFloorVolatility,normal
0.1,4Y,2.627,2021-06-08,USD,CapFloorVolatility,normal
0.1,5Y,2.538,2021-06-08,USD,CapFloorVolatility,normal
0.1,6Y,2.376,2021-06-08,USD,CapFloorVolatility,normal
0.1,7Y,2.196,2021-06-08,USD,CapFloorVolatility,normal
0.1,8Y,2.051,2021-06-08,USD,CapFloorVolatility,normal
0.1,9Y,1.931,2021-06-08,USD,CapFloorVolatility,normal
0.1,10Y,1.826,2021-06-08,USD,CapFloorVolatility,normal
0.1,12Y,1.697,2021-06-08,USD,CapFloorVolatility,normal
0.1,15Y,1.542,2021-06-08,USD,CapFloorVolatility,normal
0.1,20Y,1.405,2021-06-08,USD,CapFloorVolatility,normal
0.02,1Y,0.824,2021-06-08,USD,CapFloorVolatility,normal
0.02,2Y,0.777,2021-06-08,USD,CapFloorVolatility,normal
0.02,3Y,0.831,2021-06-08,USD,CapFloorVolatility,normal
0.02,4Y,0.87,2021-06-08,USD,CapFloorVolatility,normal
0.02,5Y,0.871,2021-06-08,USD,CapFloorVolatility,normal
0.02,6Y,0.852,2021-06-08,USD,CapFloorVolatility,normal
0.02,7Y,0.837,2021-06-08,USD,CapFloorVolatility,normal
0.02,8Y,0.823,2021-06-08,USD,CapFloorVolatility,normal
0.02,9Y,0.809,2021-06-08,USD,CapFloorVolatility,normal
0.02,10Y,0.797,2021-06-08,USD,CapFloorVolatility,normal
0.02,12Y,0.778,2021-06-08,USD,CapFloorVolatility,normal
0.02,15Y,0.753,2021-06-08,USD,CapFloorVolatility,normal
0.02,20Y,0.721,2021-06-08,USD,CapFloorVolatility,normal
0.025,1Y,1.003,2021-06-08,USD,CapFloorVolatility,normal
0.025,2Y,0.928,2021-06-08,USD,CapFloorVolatility,normal
0.025,3Y,0.967,2021-06-08,USD,CapFloorVolatility,normal
0.025,4Y,0.994,2021-06-08,USD,CapFloorVolatility,normal
0.025,5Y,0.984,2021-06-08,USD,CapFloorVolatility,normal
0.025,6Y,0.949,2021-06-08,USD,CapFloorVolatility,normal
0.025,7Y,0.919,2021-06-08,USD,CapFloorVolatility,normal
0.025,8Y,0.894,2021-06-08,USD,CapFloorVolatility,normal
0.025,9Y,0.871,2021-06-08,USD,CapFloorVolatility,normal
0.025,10Y,0.85,2021-06-08,USD,CapFloorVolatility,normal
0.025,12Y,0.821,2021-06-08,USD,CapFloorVolatility,normal
0.025,15Y,0.782,2021-06-08,USD,CapFloorVolatility,normal
0.025,20Y,0.742,2021-06-08,USD,CapFloorVolatility,normal
0.03,1Y,1.179,2021-06-08,USD,CapFloorVolatility,normal
0.03,2Y,1.074,2021-06-08,USD,CapFloorVolatility,normal
0.03,3Y,1.1,2021-06-08,USD,CapFloorVolatility,normal
0.03,4Y,1.116,2021-06-08,USD,CapFloorVolatility,normal
0.03,5Y,1.097,2021-06-08,USD,CapFloorVolatility,normal
0.03,6Y,1.049,2021-06-08,USD,CapFloorVolatility,normal
0.03,7Y,1.005,2021-06-08,USD,CapFloorVolatility,normal
0.03,8Y,0.969,2021-06-08,USD,CapFloorVolatility,normal
0.03,9Y,0.937,2021-06-08,USD,CapFloorVolatility,normal
0.03,10Y,0.908,2021-06-08,USD,CapFloorVolatility,normal
0.03,12Y,0.869,2021-06-08,USD,CapFloorVolatility,normal
0.03,15Y,0.819,2021-06-08,USD,CapFloorVolatility,normal
0.03,20Y,0.77,2021-06-08,USD,CapFloorVolatility,normal
0.035,1Y,1.35,2021-06-08,USD,CapFloorVolatility,normal
0.035,2Y,1.216,2021-06-08,USD,CapFloorVolatility,normal
0.035,3Y,1.229,2021-06-08,USD,CapFloorVolatility,normal
0.035,4Y,1.235,2021-06-08,USD,CapFloorVolatility,normal
0.035,5Y,1.21,2021-06-08,USD,CapFloorVolatility,normal
0.035,6Y,1.15,2021-06-08,USD,CapFloorVolatility,normal
0.035,7Y,1.093,2021-06-08,USD,CapFloorVolatility,normal
0.035,8Y,1.047,2021-06-08,USD,CapFloorVolatility,normal
0.035,9Y,1.006,2021-06-08,USD,CapFloorVolatility,normal
0.035,10Y,0.969,2021-06-08,USD,CapFloorVolatility,normal
0.035,12Y,0.922,2021-06-08,USD,CapFloorVolatility,normal
0.035,15Y,0.861,2021-06-08,USD,CapFloorVolatility,normal
0.035,20Y,0.804,2021-06-08,USD,CapFloorVolatility,normal
0.04,1Y,1.519,2021-06-08,USD,CapFloorVolatility,normal
0.04,2Y,1.356,2021-06-08,USD,CapFloorVolatility,normal
0.04,3Y,1.355,2021-06-08,USD,CapFloorVolatility,normal
0.04,4Y,1.352,2021-06-08,USD,CapFloorVolatility,normal
0.04,5Y,1.32,2021-06-08,USD,CapFloorVolatility,normal
0.04,6Y,1.251,2021-06-08,USD,CapFloorVolatility,normal
0.04,7Y,1.181,2021-06-08,USD,CapFloorVolatility,normal
0.04,8Y,1.126,2021-06-08,USD,CapFloorVolatility,normal
0.04,9Y,1.077,2021-06-08,USD,CapFloorVolatility,normal
0.04,10Y,1.033,2021-06-08,USD,CapFloorVolatility,normal
0.04,12Y,0.979,2021-06-08,USD,CapFloorVolatility,normal
0.04,15Y,0.907,2021-06-08,USD,CapFloorVolatility,normal
0.04,20Y,0.843,2021-06-08,USD,CapFloorVolatility,normal
0.045,1Y,1.686,2021-06-08,USD,CapFloorVolatility,normal
0.045,2Y,1.493,2021-06-08,USD,CapFloorVolatility,normal
0.045,3Y,1.479,2021-06-08,USD,CapFloorVolatility,normal
0.045,4Y,1.467,2021-06-08,USD,CapFloorVolatility,normal
0.045,5Y,1.43,2021-06-08,USD,CapFloorVolatility,normal
0.045,6Y,1.351,2021-06-08,USD,CapFloorVolatility,normal
0.045,7Y,1.27,2021-06-08,USD,CapFloorVolatility,normal
0.045,8Y,1.206,2021-06-08,USD,CapFloorVolatility,normal
0.045,9Y,1.149,2021-06-08,USD,CapFloorVolatility,normal
0.045,10Y,1.099,2021-06-08,USD,CapFloorVolatility,normal
0.045,12Y,1.037,2021-06-08,USD,CapFloorVolatility,normal
0.045,15Y,0.957,2021-06-08,USD,CapFloorVolatility,normal
0.045,20Y,0.886,2021-06-08,USD,CapFloorVolatility,normal
0.05,1Y,1.851,2021-06-08,USD,CapFloorVolatility,normal
0.05,2Y,1.628,2021-06-08,USD,CapFloorVolatility,normal
0.05,3Y,1.6,2021-06-08,USD,CapFloorVolatility,normal
0.05,4Y,1.58,2021-06-08,USD,CapFloorVolatility,normal
0.05,5Y,1.537,2021-06-08,USD,CapFloorVolatility,normal
0.05,6Y,1.45,2021-06-08,USD,CapFloorVolatility,normal
0.05,7Y,1.358,2021-06-08,USD,CapFloorVolatility,normal
0.05,8Y,1.285,2021-06-08,USD,CapFloorVolatility,normal
0.05,9Y,1.222,2021-06-08,USD,CapFloorVolatility,normal
0.05,10Y,1.166,2021-06-08,USD,CapFloorVolatility,normal
0.05,12Y,1.097,2021-06-08,USD,CapFloorVolatility,normal
0.05,15Y,1.008,2021-06-08,USD,CapFloorVolatility,normal
0.05,20Y,0.931,2021-06-08,USD,CapFloorVolatility,normal
0.055,1Y,2.015,2021-06-08,USD,CapFloorVolatility,normal
0.055,2Y,1.761,2021-06-08,USD,CapFloorVolatility,normal
0.055,3Y,1.719,2021-06-08,USD,CapFloorVolatility,normal
0.055,4Y,1.691,2021-06-08,USD,CapFloorVolatility,normal
0.055,5Y,1.643,2021-06-08,USD,CapFloorVolatility,normal
0.055,6Y,1.547,2021-06-08,USD,CapFloorVolatility,normal
0.055,7Y,1.445,2021-06-08,USD,CapFloorVolatility,normal
0.055,8Y,1.364,2021-06-08,USD,CapFloorVolatility,normal
0.055,9Y,1.295,2021-06-08,USD,CapFloorVolatility,normal
0.055,10Y,1.233,2021-06-08,USD,CapFloorVolatility,normal
0.055,12Y,1.157,2021-06-08,USD,CapFloorVolatility,normal
0.055,15Y,1.061,2021-06-08,USD,CapFloorVolatility,normal
0.055,20Y,0.977,2021-06-08,USD,CapFloorVolatility,normal
0.06,1Y,2.176,2021-06-08,USD,CapFloorVolatility,normal
0.06,2Y,1.893,2021-06-08,USD,CapFloorVolatility,normal
0.06,3Y,1.837,2021-06-08,USD,CapFloorVolatility,normal
0.06,4Y,1.8,2021-06-08,USD,CapFloorVolatility,normal
0.06,5Y,1.747,2021-06-08,USD,CapFloorVolatility,normal
0.06,6Y,1.643,2021-06-08,USD,CapFloorVolatility,normal
0.06,7Y,1.532,2021-06-08,USD,CapFloorVolatility,normal
0.06,8Y,1.443,2021-06-08,USD,CapFloorVolatility,normal
0.06,9Y,1.367,2021-06-08,USD,CapFloorVolatility,normal
0.06,10Y,1.3,2021-06-08,USD,CapFloorVolatility,normal
0.06,12Y,1.218,2021-06-08,USD,CapFloorVolatility,normal
0.06,15Y,1.114,2021-06-08,USD,CapFloorVolatility,normal
0.06,20Y,1.024,2021-06-08,USD,CapFloorVolatility,normal
0.065,1Y,2.337,2021-06-08,USD,CapFloorVolatility,normal
0.065,2Y,2.023,2021-06-08,USD,CapFloorVolatility,normal
0.065,3Y,1.953,2021-06-08,USD,CapFloorVolatility,normal
0.065,4Y,1.907,2021-06-08,USD,CapFloorVolatility,normal
0.065,5Y,1.85,2021-06-08,USD,CapFloorVolatility,normal
