tenor,maturityDate,value,valuationDate,currency,instrument,settlementDate,period
6Y,,-0.002265,2021-07-05,EUR,IRS,2D,3M
7Y,,-0.0015,2021-07-05,EUR,IRS,2D,3M
8Y,,-0.000755,2021-07-05,EUR,IRS,2D,3M
9Y,,-3.5e-05,2021-07-05,EUR,IRS,2D,3M
10Y,,0.00065,2021-07-05,EUR,IRS,2D,3M
11Y,,0.0013,2021-07-05,EUR,IRS,2D,3M
12Y,,0.00192,2021-07-05,EUR,IRS,2D,3M
15Y,,0.0034,2021-07-05,EUR,IRS,2D,3M
20Y,,0.00469,2021-07-05,EUR,IRS,2D,3M
25Y,,0.00497,2021-07-05,EUR,IRS,2D,3M
30Y,,0.00485,2021-07-05,EUR,IRS,2D,3M
40Y,,0.0044,2021-07-05,EUR,IRS,2D,3M
50Y,,0.00394,2021-07-05,EUR,IRS,2D,3M
3M,,-3.765399933,2021-07-05,EURUSD,CCBS,2D,3M
6M,,-10.48005152,2021-07-05,EURUSD,CCBS,2D,3M
9M,,-7.755600214,2021-07-05,EURUSD,CCBS,2D,3M
1Y,,-7.0,2021-07-05,EURUSD,CCBS,2D,3M
2Y,,-8.000000239,2021-07-05,EURUSD,CCBS,2D,3M
3Y,,-6.124999881,2021-07-05,EURUSD,CCBS,2D,3M
4Y,,-5.875000119,2021-07-05,EURUSD,CCBS,2D,3M
5Y,,-6.25,2021-07-05,EURUSD,CCBS,2D,3M
6Y,,-6.875,2021-07-05,EURUSD,CCBS,2D,3M
7Y,,-7.499999523,2021-07-05,EURUSD,CCBS,2D,3M
8Y,,-8.125000713,2021-07-05,EURUSD,CCBS,2D,3M
9Y,,-8.624997376,2021-07-05,EURUSD,CCBS,2D,3M
10Y,,-9.375000475,2021-07-05,EURUSD,CCBS,2D,3M
12Y,,-9.625001908,2021-07-05,EURUSD,CCBS,2D,3M
15Y,,-9.249998091,2021-07-05,EURUSD,CCBS,2D,3M
20Y,,-7.374999762,2021-07-05,EURUSD,CCBS,2D,3M
30Y,,-3.875,2021-07-05,EURUSD,CCBS,2D,3M
1D,,0.199076,2021-06-18,TRY,DEPO,2D,3M
1W,,0.199498,2021-06-18,TRY,DEPO,2D,3M
1M,,0.199496,2021-06-18,TRY,DEPO,2D,3M
2M,,0.19950001,2021-06-18,TRY,DEPO,2D,3M
3M,,0.19950001,2021-06-18,TRY,DEPO,2D,3M
1Y,,0.203564997,2021-06-18,TRY,IRS,2D,3M
2Y,,0.199055004,2021-06-18,TRY,IRS,2D,3M
3Y,,0.195270004,2021-06-18,TRY,IRS,2D,3M
4Y,,0.191380005,2021-06-18,TRY,IRS,2D,3M
5Y,,0.188180008,2021-06-18,TRY,IRS,2D,3M
7Y,,0.184150009,2021-06-18,TRY,IRS,2D,3M
10Y,,0.180900002,2021-06-18,TRY,IRS,2D,3M
1M,2021-04-09,0.001035,2021-03-05,USD,DEPO,2D,6M
2M,2021-05-10,0.001454,2021-03-05,USD,DEPO,2D,6M
3M,2021-06-09,0.001755,2021-03-05,USD,DEPO,2D,6M
6M,2021-09-09,0.002033,2021-03-05,USD,DEPO,2D,6M
1Y,2022-03-09,0.002838,2021-03-05,USD,DEPO,2D,6M
2Y,2023-03-09,0.002315,2021-03-05,USD,IRS,2D,6M
3Y,2024-03-09,0.00417,2021-03-05,USD,IRS,2D,6M
4Y,2025-03-09,0.006613,2021-03-05,USD,IRS,2D,6M
5Y,2026-03-09,0.00879,2021-03-05,USD,IRS,2D,6M
6Y,2027-03-09,0.01085,2021-03-05,USD,IRS,2D,6M
7Y,2028-03-09,0.012585,2021-03-05,USD,IRS,2D,6M
8Y,2029-03-09,0.013958,2021-03-05,USD,IRS,2D,6M
9Y,2030-03-09,0.01508,2021-03-05,USD,IRS,2D,6M
10Y,2031-03-09,0.01602,2021-03-05,USD,IRS,2D,6M
12Y,2033-03-09,0.01752,2021-03-05,USD,IRS,2D,6M
15Y,2036-03-09,0.018743,2021-03-05,USD,IRS,2D,6M
20Y,2041-03-09,0.019685,2021-03-05,USD,IRS,2D,6M
25Y,2046-03-09,0.020108,2021-03-05,USD,IRS,2D,6M
30Y,2051-03-09,0.02035,2021-03-05,USD,IRS,2D,6M
6M,2021-03-05,169.02,2021-03-05,USD,CDS,2D,6M
1Y,2021-03-05,228.38,2021-03-05,USD,CDS,2D,6M
2Y,2021-03-05,279.96,2021-03-05,USD,CDS,2D,6M
3Y,2021-03-05,303.21,2021-03-05,USD,CDS,2D,6M
4Y,2021-03-05,320.24,2021-03-05,USD,CDS,2D,6M
5Y,2021-03-05,334.893,2021-03-05,USD,CDS,2D,6M
7Y,2021-03-05,372.46,2021-03-05,USD,CDS,2D,6M
10Y,2021-03-05,384.77,2021-03-05,USD,CDS,2D,6M
